brain_weight,body_weight
3385,44500
480,15500
1350,8100
465000,423000
36330,119500
27660,115000
14830,98200
1040,5500
4190,58000
425,6400
101,4000
920,5700
1000,6600
5,140
60,1000
3500,10800
2000,12300
1700,6300
2547000,4603000
23,300
187100,419000
521000,655000
785,3500
10000,115000
3300,25600
200,5000
1410,17500
529000,680000
207000,406000
85000,325000
750,12300
62000,1320000
6654000,5712000
3500,3900
6800,179000
35000,56000
4050,17000
120,1000
23,400
10,250
1400,12500
250000,490000
2500,12100
55500,175000
100000,157000
52160,440000
10550,179500
550,2400
60000,81000
3600,21000
4288,39200
280,1900
75,1200
122,3000
48,330
192000,180000
3000,25000
160000,169000
900,2600
1620,11400
104,2500
4235,50400
